outcome,group,q,r,s,t,u,v,w,x,z
0,b,2.699576639570296,NA,1.6885123880867343,-0.017861641010934688,1.0921547046561981,0.9375370626731684,0.2964448267986646,0.6196192717940161,0.0838974779360104
1,b,0.6471843486651778,NA,-0.9513625701901158,-0.2226361942075818,-0.3838037074030242,0.32825339736863424,0.15961101391418417,-0.30651148846029636,0.11796765970232877
0,d,1.602228861534968,NA,-0.21877135694164415,0.4799965780763233,-0.6301555756294926,-0.2415956055876201,-0.4354889737858756,-0.04159802677611579,-0.3734754686421256
0,a,2.8971964416559786,NA,0.22433037940285994,0.09416841349845322,-0.16257310827517904,0.9750933957906724,0.8255504680049698,0.8335369672256295,-0.7409819393322651
0,f,0.5719260096084327,NA,0.015272460783773034,-1.2275817866363656,0.3215543081276326,-0.6677110551385328,-0.08066580324701268,-0.36671738863517955,0.0876468747169348
0,g,0.8601486780680716,NA,-0.9155317544490564,-1.0535993231946597,1.6016041112351735,0.14428583419248342,-0.9333912755452547,-0.46052835639157685,0.23940148466422215
0,a,0.7657004431821406,0.5311463724356145,0.4160898348902058,-0.6361811003116582,0.22149521917490755,0.5749181274461064,0.5514424205641547,0.27748070829777993,-0.579944403707372
0,b,1.818674034671858,NA,-1.2956624562755066,0.9140640249541545,-1.0152014136063652,-3.1480220679197535e-4,0.1904791062402776,-0.2980806534719082,-0.8286624320769538
1,d,1.0682250950485468,NA,-1.2577731335412394,-0.2736269344366602,-0.580109566648763,0.8999659592695886,-0.3679842448539614,0.14450955111795927,-0.15329996533058504
0,b,1.6073991085868329,NA,-0.44187239643330906,1.5268723687935002,-1.2385751760607677,0.3445293973141116,-0.23292935124136105,-0.3752152869535968,-0.0849312092095328
0,b,2.6096199858002365,NA,1.6849833215012242,0.9537916480899878,1.1155107107681128,0.6958343572594059,0.3992788874110482,-0.07585127290976279,0.8980869248652407
0,d,0.8144432392437011,0.35767787718214095,-0.89065859321836,1.6588348237798058,-0.11096960802968865,1.1623006584866828,-0.11893075755086363,-0.3677940399677574,0.25898195917756317
0,f,1.2942048045806587,NA,-0.26776885845504717,1.5467320035320167,-1.5893585737259217,0.7482734490083116,0.5219162008136615,-0.639651622232469,-2.0585674078879905
0,f,1.8277419903315604,NA,-0.04409060176005572,0.7627825247977594,0.41783769651909897,0.2791021479077904,-1.1171234475424408,0.7211265453025845,1.191131984344501
0,d,1.1052840133197606,0.9605399940628558,0.3141209367850566,-0.09793043222659088,0.8599099175319935,-0.40675700524207314,0.19111796063394004,2.434362042670325,0.07813197752762868
0,b,2.082396993879229,NA,1.0241382689560035,1.8101860433560124,0.44799879653213037,-0.516959614747293,-0.030916579417586285,-0.9943221188396159,0.8481297463386235
0,d,2.148082593921572,NA,0.481566729297225,0.1788379642199641,0.8653523273122066,-0.826290735297948,-0.36811835502043927,0.3138448182791562,0.9311222213990376
0,f,1.3319429706316441,NA,-1.7105893629620756,-0.4458427653344393,-1.0882793203352346,-0.29290106437030006,-0.05806741181013464,0.09273187073974765,-0.15504888500476727
0,e,1.4667448564432561,0.21584467263892293,0.1361759632430658,0.7745632818279662,-0.820084404610922,-0.3691578621688133,0.46885608963607855,1.4410889225774004,0.5546061090230356
0,d,1.7567300987429917,NA,-2.216715015370523,0.9863333172578659,-1.1569322923130587,-0.06467647755270256,-0.6258602599004914,0.3898615770445396,-0.10626667480975505
0,f,2.3918191641569138,NA,-0.43442636105548027,1.3339265287357203,-1.0054960113142697,0.6026942384119315,-0.3626848920186249,0.18821633671471955,-0.08233949979460627
1,a,0.3309734130743891,0.20045110280625522,-0.4900004843704723,1.1877430267555475,-0.08145837144120627,-0.21400497313857708,-0.06297159533978153,0.28565903726224906,-1.088212302024186
0,b,1.533674297388643,NA,-0.6718868557191001,-0.8395271792219458,0.39061305840606203,0.13881388404116052,0.017405166649133278,0.06022779871309544,-0.03599513292948405
0,a,2.394186918390915,NA,-0.0763458345730928,-0.498308194644882,0.26217836901160363,0.6032976238691827,0.4709674508021831,-1.4539767487296087,-0.6655764219602842
0,a,2.1551805816125125,NA,0.4989104061403965,2.21538615156744,0.8723909872786594,1.8766910389036018,0.23966783919930865,0.30199802490252736,-0.47970916860719615
