group,q,r,s,t,u,v,w,x,z
f,0.6016525332815945,NA,0.24200871413529756,-0.41395173664050633,0.7361466901634603,0.4660683982731178,0.8261610226858,0.7640475570188299,0.720367056515786
g,1.8291805190965533,NA,-0.0054495072941316836,1.254578205393049,-0.7684746021596769,0.09113194935524832,-0.06954230826071683,0.9787198089121258,-0.8573857924800818
c,0.8866151534020901,0.6473387761507183,-0.9282878876664623,0.46251369622667016,0.18886289106322993,0.055979614796025964,0.7211676603451121,-0.10402222487444712,0.17050340771748712
a,2.3113873503170907,NA,-0.2144589003953239,0.23121840840239247,0.14337441263914502,-0.12258377204575749,0.16305457521649855,-0.08919850191250228,0.7452831174485122
e,0.9566740561276674,0.19923735363408923,0.7550922534581335,2.018032974567887,-0.04799010271373517,-0.5497700952809776,0.17730655556717947,0.6397670278810683,0.06592504464231064
b,1.7593682357110083,NA,-0.13156956408957643,-0.6170044790854405,-0.45424751128251156,0.818289735085566,0.5788738751791889,-1.283589042859796,0.2841343420936862
c,2.1708802508655936,NA,-0.1093286704752515,-0.5807618007296859,-0.26956107259414885,-0.8472145831426805,0.28161899302520316,-0.3443369446339061,-0.4039631580113848
b,0.5143412856850773,0.7949595474638045,1.20653479276057,1.4310195907233743,0.5780037911818665,0.9583726455676511,0.6238586692461117,0.7371541138331617,1.2610955660850003
a,1.2290614773519337,NA,-1.1667990217725124,0.3005208698504462,1.2597306918045628,0.46798376473918357,-0.49441382571779974,-0.9142990540015049,0.44015473799071103
a,1.7245443798601627,NA,0.1392961454048501,-0.9552931564525984,0.5269532492919567,0.4810443461055438,-0.6032789185007215,-0.8346935213338557,-0.01912625393561293
b,0.6119088402483612,0.4715481826569885,-0.5513732668553184,0.48848011146860465,0.7170173136984126,0.2528293769711441,0.7925465396245878,-0.8578063184370097,-0.8022444279787037
g,1.7689931150525808,NA,-0.47762808575996385,1.4602625937227078,0.8605232014515188,-0.25769306214908366,0.46760511641924885,-1.4760998900281943,1.044875991757786
e,1.0643493798561394,0.27120975451543927,0.6699171911263331,0.5823547391063879,-0.09558801584969567,1.449740967250467,0.3631402047714813,-0.1471154418981534,-1.9633436475426522
g,2.6049533940386027,NA,0.5098575852829326,2.4797444435701435,0.7735899434095762,1.315249708083146,0.46798565414384863,-1.4041304257755485,-0.6805045596545694
e,2.3691947555635124,NA,-1.1748805656674823,0.038486741807181674,0.15904843187246603,0.05433826140734341,0.28875137265137774,-1.3186203833425267,-0.4334039710107605
f,1.710881469072774,NA,-0.04914502843053625,-0.4022879618106631,-0.70605337895289,-0.5026343776532531,-0.19973279942993216,1.9535249517095363,0.36407098477348787
b,0.4126750559080392,0.14335991768166423,-0.008859738562291719,-0.030936802146087603,0.538132130786263,0.04378213999509435,-0.545790722852762,0.7854330414559829,0.5504551088953284
e,0.43486251519061625,0.4209098182618618,0.8280524525737946,0.7940894668800618,0.7078192645908756,0.6824273256254523,0.9585468809029418,0.734570034416548,0.2925947208071563
c,2.5077242497354746,NA,-0.4100828788860161,-0.20379068410770054,0.28683670374457043,-0.025218339763477954,1.2334826732849777,0.35123316912229513,0.39125578192583715
a,1.5136204529553652,NA,-0.6212613699372095,-1.4689584577434525,-0.9757129725671666,-0.6661802930402945,-0.3884779480969115,0.5307963731434077,-0.09220572583293157
e,2.729092544177547,NA,-0.6298370756296049,0.3037598571636617,-0.9957046405532364,0.16258254869939998,0.2914460362161486,-0.5999577551004269,-1.6783240530579477
g,2.7947353329509497,NA,-0.3303527512291703,1.5617079165103522,0.6981019604419294,0.8474501125505219,0.6528598712260406,-1.2089426002281103,-0.11305951413213222
g,2.1196829066611826,NA,0.7641686469612399,0.15511579059227645,0.20138782594491494,0.7375133874080896,-0.261523106703076,1.243551422478648,-1.3768759547603415
g,1.5083586901891977,0.6607220738660544,0.43011523268889523,-1.7417646314136341,0.1550495622440322,-0.1504365708978403,1.6494634156927515,0.25857854273616726,0.12322938215769647
e,0.7546044210903347,0.48934237845242023,-0.06607671322567006,0.17754841520854872,-0.2079204219045625,0.5280486138871637,-0.057973255667753465,-0.08940902464077283,-0.07015320384264603
g,2.7638033316470683,NA,1.0355907358083263,0.5495928783730666,-0.26872769437739563,0.03115327728772546,-0.7174314770456934,1.41886324623639,1.4861506390532462
e,2.625451421365142,NA,1.7576295185911115,0.5244101102622201,-0.2056461696913911,-0.7687228690898056,-0.12146606614464109,-0.3697526338039111,-1.5075906695306331
e,1.0823032928165048,0.6849691201932728,-0.212658643897442,-0.44962287710755117,-0.017315104623230326,0.28660825206249313,0.7944540134317315,0.9820128028044961,1.4261535562760148
f,1.4429705331567675,NA,0.3692655029313245,-1.0238348342301913,0.45693297444836145,-0.41797625439061437,-0.7751843633166086,0.20058443693481798,-0.5451316438670553
b,2.564577410230413,NA,0.2823180640971716,-0.19803637566121868,0.008381370116297693,-0.5727290882043792,-0.2271432059920145,-0.009655178812333659,-0.7125882470542116
f,1.8842202206142247,NA,0.04181181311010984,1.0655459834951164,0.16759012067749643,0.11865073092385486,-0.06295979664421594,1.7896450971063447,-0.6649154256735943
b,2.0122291459701955,NA,-0.05043767089365683,0.5113577580175427,-0.02333110237300695,0.011782610713399588,0.16437926258862073,0.7768321183526047,0.8758172226884073
b,1.0518698003143072,NA,0.07244187039118528,1.0055804603996465,0.5742819821221263,-0.40979435399253117,0.36312263843824055,-0.40601061269166966,1.026864128645798
e,1.8408763236366212,NA,0.5361363175228656,0.8099170043938777,-0.11063581261866412,0.2501701060546506,0.9261918954570546,1.5644409971409976,0.879974552888115
c,0.4267905985470861,0.3951481431722641,-0.01763509226255612,0.17711653074656172,0.40118567364469615,0.49249520613320735,-0.04033327814436914,-0.40485627444073824,0.7589058205515332
a,0.6472272095270455,NA,1.1621003876877738,1.4819410408666291,1.1901651195146472,0.6261647862694434,-0.03399845942402269,-1.0049254267810979,0.8339180553218732
f,1.9391450341790915,NA,0.5124975806552731,0.11422260797395332,-0.268062749057128,-0.3683919706470172,-1.5381618840800468,-0.39449610334683394,0.4914104880102881
a,1.5392217265907675,NA,0.4237972606597572,-0.40067915620084604,-0.3555899162492792,-1.1110594985373985,1.0247131892110686,-0.28709817964388895,-0.881367545466536
a,2.747789880260825,NA,0.43293389176987074,0.5155134929239953,0.4644962984059665,0.1441504038464051,0.7417978417834212,0.9048321247495564,0.9085620947784779
f,2.7668383691925555,NA,0.5618699172777042,0.6137082350051455,-0.39639494267821385,-0.13148201509382487,-0.2986709299402882,1.1576119876573137,-0.04809038432694618
f,0.8678539409302175,0.48938683047890663,-1.036716595398864,0.5049888716419806,-1.1820871165119957,0.5674932386940712,0.050801046422620705,-0.6535054379472645,-1.549441794132567
a,2.0639613184612244,NA,-0.29393626055374633,1.6546092664838015,-0.5793541993516668,0.24754304371293345,-0.27632467870216215,-0.2965382028172868,-0.5840667725311101
g,1.323522741207853,0.1922462871298194,-1.0675583739130843,0.38603491936052,-0.9974638770056531,0.6462514459077319,-1.341125265673191,0.35315229608418497,-1.1874497965595008
g,0.29813451413065195,NA,-0.8342930721951041,-1.682449835592237,-1.620473426913923,0.0012565302678497758,-0.47635683700685316,0.05099395556786024,0.7183068199525151
a,1.8781067775562406,NA,0.4015001212955731,-0.22580016005968176,0.41494716114030306,-0.09785602925378414,-0.18017723983829995,-1.3636056278383761,1.4044746058907642
b,1.8210117775015533,NA,1.750352322342423,0.7488191768670769,-0.22793416497265023,0.4127817396669681,0.2191021589501257,1.9158621231957467,0.20800951455504174
b,0.18612890783697367,0.746625256491825,-1.0519623375452238,0.19181144435435943,0.06774501744552747,0.3150658779256888,0.4268966285094884,0.7460324780944148,0.1584529517965849
f,1.3866202239878476,NA,0.10699157724686001,-1.7964424620953798,-0.14207814818572645,-0.44393160285180594,-0.29877120297541354,-0.298709701961714,0.8007332671023097
b,2.5904166677501053,NA,-0.2309781274962086,-0.7102730419185886,-0.7814638836607131,0.11355702019880196,0.2708064986726731,-0.7881058482171568,0.15454852805127173
a,0.7893016892485321,NA,-1.4381357494665927,-0.36530162780727554,-0.4732058392780221,0.5511120781488927,-0.17746724165163444,-0.0391644607994828,-0.03109457907343309
c,2.1476590710226446,NA,1.1081366415429486,-0.935085121656096,0.047499251225941015,-0.6015151619443861,-0.6981895815626267,0.600266240136285,0.30901467384564496
c,2.2263767290860415,NA,0.220958110186205,-1.6960426219055853,0.5977046368427809,-0.20991837438278466,-0.03982620347365676,0.2635838051369994,0.9722270962942345
e,1.9808229035697877,NA,-0.20119261401302707,-0.500833956010221,-0.4247709950941592,-0.04302420897863804,0.17510772751909912,-0.5903421229869357,-0.8623275195059366
